filename,chroma_stft,spec_cent,spec_bw,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,raga
bhairav9.wav-1,0.23907973,1105.2599418688435,1343.6690397871037,0.08825622,-281.46344,222.90404,-27.789831,11.321873,17.478205,0.88687676,-3.352781,-1.7682767,-4.4858212,-3.742385,7.259623,-6.800806,-4.8117743,5.9346004,-3.8495061,-0.2920903,6.8794146,3.7515678,0.5826815,-11.209305,bhairav
bhairav9.wav-2,0.24314915,1143.563680548722,1413.5541952189772,0.094067104,-265.3506,219.63116,-33.257088,18.129927,14.165407,0.15985617,-2.154102,1.9308902,-1.6928612,-10.286739,-1.3116666,-5.292978,-1.9249898,6.030676,-5.474752,-1.8227135,6.0435414,-2.8186767,-3.0257356,-10.014086,bhairav
bhairav9.wav-3,0.3096086,1071.7216770843472,1264.3127795389719,0.089013144,-269.9533,238.70624,-32.62804,2.8329275,19.965118,1.3824897,-4.1529765,-1.5314617,-1.1143327,-9.322769,-5.536202,-6.8140397,-3.7940688,0.7619421,-3.4479446,3.4412796,5.3993397,-0.73691356,-3.1719124,-10.950314,bhairav
bhairav9.wav-4,0.2820442,1232.4944863053552,1458.8865107817048,0.11813469,-222.51262,221.29787,-41.395084,10.392282,12.412296,4.975395,-7.0431895,-0.47531027,-0.4183572,-9.708216,-3.0560822,-9.804002,-3.489688,2.737331,-3.3397088,1.1979862,1.2443126,-2.9754875,-2.082716,-9.282099,bhairav
bhairav9.wav-5,0.24072953,1169.2012963388088,1354.514889248367,0.14280848,-218.62947,220.82483,-34.30917,0.49659482,13.409801,7.9964056,-4.500391,-9.647344,2.3846545,-6.1124387,-5.9901843,-1.7096243,-10.268738,-11.372759,-5.2732453,0.31249678,5.1974545,8.162118,7.3437443,5.044905,bhairav
bhairav9.wav-6,0.27668136,1123.741117134092,1333.155908275078,0.122217156,-233.57027,231.86629,-37.292416,5.6281157,16.985577,11.485921,-2.4287713,-4.8738766,3.4971747,-6.7446537,-3.770374,-3.0240037,-7.5903344,-5.8051066,-4.6930327,-0.42960504,3.5772488,4.20375,3.890578,1.0351994,bhairav
bhairav9.wav-7,0.34782103,1144.1217468572688,1345.0435499382252,0.119373664,-228.35884,230.82054,-39.19977,7.1261106,17.43005,7.6394205,-5.9148884,-3.0781214,2.9062448,-7.031943,-3.6073718,-8.328193,-5.249241,-2.8273995,-6.5348754,4.3336234,5.889098,3.7914517,0.38670737,-8.232978,bhairav
bhairav9.wav-8,0.35160398,1026.957475499381,1242.8769672165754,0.10530419,-264.6531,240.57106,-41.515102,7.6669445,27.21676,6.2413435,1.7343149,-0.13852154,3.7680407,2.0552704,-1.2499475,-0.7585581,-8.690017,-14.539488,-1.3621602,2.3751712,-5.517174,4.9389915,3.1668124,-15.2763405,bhairav
bhairav9.wav-9,0.33448476,849.7665714099586,1109.8810465442768,0.067655094,-330.33038,254.12013,-12.807047,-12.182703,31.502977,10.319272,-3.4275491,0.3019776,3.4671094,2.9511154,1.7440026,1.6628034,-8.876536,-13.042854,2.020904,3.1210532,-3.5432765,6.2109213,4.4114933,-10.141655,bhairav
bhairav9.wav-10,0.2944728,627.6152192032016,1046.2207720029555,0.04214735,-437.38657,265.4526,36.824112,-21.314358,19.46489,18.110676,-8.264441,-0.83064014,7.617399,8.038173,3.7280626,-4.467261,-7.288224,0.2827541,5.05625,-0.10815597,-1.0653853,1.1175479,2.8361435,1.1769505,bhairav
